City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
158,Sinnamary,GF,2022-02-02   03:14:28,5.3833,-52.95,77.0,82,92,11.65
159,Grand Gaube,MU,2022-02-02   03:17:28,-20.0064,57.6608,81.37,80,100,20.0
160,Mount Isa,AU,2022-02-02   03:17:28,-20.7333,139.5,91.17,49,40,11.5
161,Ust-Kuyga,RU,2022-02-02   03:17:28,70.0167,135.6,-16.26,95,100,3.47
162,Svetlaya,RU,2022-02-02   03:17:29,46.5389,138.3297,18.21,54,6,6.17
163,Oktyabrskiy,RU,2022-02-02   03:17:29,54.4815,53.471,25.65,90,95,13.71
164,Inuvik,CA,2022-02-02   03:17:29,68.3499,-133.7218,-15.74,76,20,0.0
165,Berlevag,NO,2022-02-02   03:17:30,70.8578,29.0864,21.78,74,76,6.85
166,Tazovskiy,RU,2022-02-02   03:17:30,67.4667,78.7,-11.99,100,91,5.03
167,Kuruman,ZA,2022-02-02   03:17:30,-27.4524,23.4325,66.99,63,97,12.24
168,Adiake,CI,2022-02-02   03:17:31,5.2863,-3.304,76.59,87,99,1.3
169,Kulhudhuffushi,MV,2022-02-02   03:17:31,6.6221,73.07,81.16,75,7,13.24
170,Shakawe,BW,2022-02-02   03:17:31,-18.3667,21.85,65.7,95,95,4.65
171,Tuatapere,NZ,2022-02-02   03:17:32,-46.1333,167.6833,71.82,93,91,5.35
172,Palamos,ES,2022-02-02   03:17:32,41.8484,3.1291,54.32,63,0,2.64
173,Yar-Sale,RU,2022-02-02   03:17:32,66.8333,70.8333,-15.36,99,48,7.58
174,Provideniya,RU,2022-02-02   03:17:33,64.3833,-173.3,14.11,67,20,33.55
175,Soyo,AO,2022-02-02   03:14:29,-6.1349,12.3689,77.25,86,85,5.5
176,Esperance,AU,2022-02-02   03:17:33,-33.8667,121.9,71.17,46,21,19.24
177,Krasnyy Yar,RU,2022-02-02   03:17:33,46.5331,48.3456,26.53,98,100,2.26
178,Port Elizabeth,ZA,2022-02-02   03:17:34,-33.918,25.5701,73.09,88,0,3.44
179,Zaysan,KZ,2022-02-02   03:17:34,47.4667,84.8667,0.7,92,46,2.15
180,Romulus,US,2022-02-02   03:17:34,42.2223,-83.3966,44.49,83,100,3.44
181,Beloha,MG,2022-02-02   03:18:35,-25.1667,45.05,69.71,87,0,10.25
182,Akdagmadeni,TR,2022-02-02   03:18:35,39.6603,35.8836,23.76,86,60,7.05
183,Touros,BR,2022-02-02   03:18:35,-5.1989,-35.4608,77.9,79,45,8.39
184,Flinders,AU,2022-02-02   03:18:36,-34.5833,150.8552,71.2,79,100,12.86
185,Ciudad Bolivar,VE,2022-02-02   03:18:36,8.1222,-63.5497,80.35,64,61,14.03
186,Newton,US,2022-02-02   03:17:09,42.337,-71.2092,34.86,85,100,1.01
187,Porto Novo,BJ,2022-02-02   03:18:36,6.4965,2.6036,75.02,81,2,4.5
188,Maceio,BR,2022-02-02   03:17:09,-9.6658,-35.7353,78.24,88,40,2.3
189,Komsomolskiy,UZ,2022-02-02   03:18:37,40.4272,71.7189,30.92,74,100,4.61
190,Coahuayana,MX,2022-02-02   03:18:37,18.7333,-103.6833,69.06,70,0,2.1
191,Nikolskoye,RU,2022-02-02   03:18:37,59.7035,30.7861,22.89,97,99,2.39
192,Banjar,ID,2022-02-02   03:18:38,-8.19,114.9675,87.66,61,35,3.65
193,Arona,ES,2022-02-02   03:18:38,28.0996,-16.681,65.7,74,75,3.0
194,San Cristobal,VE,2022-02-02   03:18:38,7.7669,-72.225,68.18,61,99,1.7
195,Haines Junction,CA,2022-02-02   03:18:39,60.7522,-137.5108,-14.85,70,100,0.0
196,Korla,CN,2022-02-02   03:18:39,41.7597,86.1469,24.85,43,0,2.98
197,Diego De Almagro,CL,2022-02-02   03:18:40,-26.3667,-70.05,62.82,52,0,1.63
198,Lagoa,PT,2022-02-02   03:18:40,39.05,-27.9833,58.93,72,11,14.27
199,Cherskiy,RU,2022-02-02   03:18:40,68.75,161.3,9.99,68,100,4.12
200,Tiksi,RU,2022-02-02   03:18:41,71.6872,128.8694,-8.73,96,100,7.58
201,Manggar,ID,2022-02-02   03:18:41,-2.8833,108.2667,86.23,59,30,4.38
202,Baykit,RU,2022-02-02   03:18:41,61.67,96.37,-9.11,100,93,0.94
203,Comodoro Rivadavia,AR,2022-02-02   03:16:53,-45.8667,-67.5,62.46,72,0,12.66
204,Rawson,AR,2022-02-02   03:18:42,-43.3002,-65.1023,76.3,30,7,11.21
205,Hamilton,US,2022-02-02   03:17:28,39.1834,-84.5333,50.2,52,0,3.44
206,Bambous Virieux,MU,2022-02-02   03:18:42,-20.3428,57.7575,81.21,89,75,26.46
207,Cap Malheureux,MU,2022-02-02   03:18:42,-19.9842,57.6142,81.46,80,100,20.0
208,Kuytun,RU,2022-02-02   03:18:43,54.3419,101.5036,-3.55,97,96,1.95
209,Basoko,CD,2022-02-02   03:18:43,1.2391,23.616,76.37,63,100,1.92
210,Ucluelet,CA,2022-02-02   03:18:43,48.9329,-125.5528,37.09,85,42,4.94
211,Masunga,BW,2022-02-02   03:18:44,-20.6246,27.4488,65.91,82,46,8.37
212,Apen,DE,2022-02-02   03:18:44,53.2167,7.8,44.02,74,100,22.82
213,Pontianak,ID,2022-02-02   03:14:54,-0.0333,109.3333,82.38,78,75,12.66
214,Aketi,CD,2022-02-02   03:18:44,2.7388,23.7833,76.01,44,100,0.76
215,Saskylakh,RU,2022-02-02   03:18:45,71.9167,114.0833,-28.57,100,44,1.88
216,Constitucion,CL,2022-02-02   03:18:45,-35.3333,-72.4167,56.89,93,13,3.96
217,Manamadurai,IN,2022-02-02   03:18:45,9.7,78.4833,79.5,69,27,7.76
218,Warwick,US,2022-02-02   03:18:46,41.7001,-71.4162,34.34,85,100,3.44
219,Atbasar,KZ,2022-02-02   03:18:46,51.8,68.3333,4.91,92,100,4.27
220,Wexford,IE,2022-02-02   03:18:46,52.3342,-6.4575,51.22,71,100,16.51
221,Asau,RO,2022-02-02   03:18:47,46.4333,26.4,26.76,91,91,6.04
222,Juneau,US,2022-02-02   03:14:49,58.3019,-134.4197,24.8,78,100,4.61
223,Atherton,GB,2022-02-02   03:18:47,53.5237,-2.4935,51.28,89,100,11.01
224,Souillac,MU,2022-02-02   03:18:47,-20.5167,57.5167,81.36,89,75,26.46
225,Guerrero Negro,MX,2022-02-02   03:18:09,27.9769,-114.0611,60.28,74,96,11.72
226,Karagay,RU,2022-02-02   03:18:48,58.2667,54.9368,26.65,93,100,11.3
227,Kamaishi,JP,2022-02-02   03:19:48,39.2667,141.8833,36.55,47,89,12.28
228,Margate,GB,2022-02-02   03:19:48,51.3813,1.3862,51.66,80,100,4.0
229,Oriximina,BR,2022-02-02   03:19:49,-1.7656,-55.8661,73.87,96,55,3.78
230,Itaperucu,BR,2022-02-02   03:19:49,-25.22,-49.3478,68.43,98,76,3.2
231,Solnechnyy,RU,2022-02-02   03:19:49,50.7214,136.6319,4.44,89,100,2.77
232,Viedma,AR,2022-02-02   03:19:50,-40.8135,-62.9967,68.67,55,100,15.12
233,Chokurdakh,RU,2022-02-02   03:19:50,70.6333,147.9167,-8.91,94,100,7.0
234,Posse,BR,2022-02-02   03:19:50,-14.0931,-46.3694,67.98,88,91,3.44
235,Czersk,PL,2022-02-02   03:19:51,53.7959,17.9765,35.55,97,100,13.0
236,Abalak,RU,2022-02-02   03:19:51,58.1286,68.5944,12.85,92,100,8.23
237,Nola,IT,2022-02-02   03:19:51,40.922,14.5329,46.26,65,1,3.56
238,Kondopoga,RU,2022-02-02   03:19:52,62.2057,34.2614,4.68,97,100,3.38
239,Nyrob,RU,2022-02-02   03:19:52,60.733,56.7202,26.83,96,100,7.99
240,Penapolis,BR,2022-02-02   03:19:52,-21.4197,-50.0775,70.92,94,100,4.74
241,Nanortalik,GL,2022-02-02   03:19:53,60.1432,-45.2371,7.34,67,41,15.77
242,Half Moon Bay,US,2022-02-02   03:19:53,37.4636,-122.4286,59.36,36,0,5.99
243,Rincon,US,2022-02-02   03:19:53,32.296,-81.2354,51.85,79,0,8.05
244,Coihaique,CL,2022-02-02   03:17:54,-45.5752,-72.0662,58.95,51,0,9.22
245,Seymchan,RU,2022-02-02   03:19:54,62.8833,152.4333,-6.45,90,100,5.88
246,El Silencio,VE,2022-02-02   03:19:54,10.5,-66.9167,67.05,73,40,5.75
247,Luderitz,NA,2022-02-02   03:19:54,-26.6481,15.1594,63.5,92,59,8.16
248,Sola,VU,2022-02-02   03:19:54,-13.8833,167.55,81.27,83,100,3.44
249,Keti Bandar,PK,2022-02-02   03:19:55,24.1447,67.4497,71.87,72,0,10.96
250,Vinh,VN,2022-02-02   03:19:55,18.6667,105.6667,62.71,85,100,5.01
251,Warmbad,NA,2022-02-02   03:19:56,-28.45,18.7333,75.94,63,98,3.22
252,Kruisfontein,ZA,2022-02-02   03:19:56,-34.0033,24.7314,70.88,70,100,2.21
253,Cameta,BR,2022-02-02   03:19:56,-2.2444,-49.4958,75.09,92,100,4.27
254,Aksarka,RU,2022-02-02   03:19:57,66.5606,67.7975,-19.35,100,89,6.67
255,Chernyshevskiy,RU,2022-02-02   03:19:57,63.0128,112.4714,-24.12,95,30,1.83
256,Matay,EG,2022-02-02   03:19:57,28.419,30.7792,50.58,49,2,5.57
257,Tadine,NC,2022-02-02   03:19:57,-21.55,167.8833,81.46,74,100,13.15
258,Ornskoldsvik,SE,2022-02-02   03:19:58,63.2909,18.7153,14.95,92,100,4.61
259,San Pedro,PH,2022-02-02   03:19:58,14.35,121.0167,85.32,64,40,5.75
260,Mwaro,BI,2022-02-02   03:19:58,-3.5,29.6667,56.05,90,100,0.92
261,Ponta Do Sol,PT,2022-02-02   03:19:59,32.6667,-17.1,66.0,78,100,13.11
262,Clyde River,CA,2022-02-02   03:19:59,70.4692,-68.5914,-25.37,68,0,3.44
263,Sakti,IN,2022-02-02   03:19:59,22.0333,82.9667,66.27,33,5,0.85
264,Buraydah,SA,2022-02-02   03:20:00,26.326,43.975,43.25,54,0,7.94
265,Tuensang,IN,2022-02-02   03:20:00,26.2833,94.8333,53.78,82,73,1.74
266,Pisco,PE,2022-02-02   03:20:01,-13.7,-76.2167,69.85,78,40,12.66
267,Waipawa,NZ,2022-02-02   03:20:01,-41.4122,175.5153,72.45,46,71,9.22
268,Padang,ID,2022-02-02   03:20:01,-0.9492,100.3543,84.25,75,100,2.62
269,Concarneau,FR,2022-02-02   03:20:02,47.875,-3.9225,48.06,81,100,10.65
270,Tucuma,BR,2022-02-02   03:20:02,-0.1833,-50.05,75.11,94,94,4.72
271,Makakilo City,US,2022-02-02   03:20:03,21.3469,-158.0858,80.92,55,0,9.22
272,Bandarbeyla,SO,2022-02-02   03:20:03,9.4942,50.8122,74.75,77,13,15.35
273,Boyabat,TR,2022-02-02   03:21:04,41.4689,34.7667,33.26,97,100,1.1
274,Sitka,US,2022-02-02   03:21:04,57.0531,-135.33,30.09,80,100,19.57
275,Lorengau,PG,2022-02-02   03:21:05,-2.0226,147.2712,77.56,86,100,6.71
276,Prado,BR,2022-02-02   03:21:05,-17.3411,-39.2208,76.98,91,57,7.9
277,Khorixas,NA,2022-02-02   03:21:05,-20.3667,14.9667,62.91,64,84,5.3
278,Verkhnevilyuysk,RU,2022-02-02   03:21:06,63.4453,120.3167,-25.62,97,94,6.35
279,Askiz,RU,2022-02-02   03:21:06,53.1319,90.5264,1.69,95,100,1.05
280,Alofi,NU,2022-02-02   03:21:06,-19.0595,-169.9187,78.69,89,75,4.61
281,Ourem,PT,2022-02-02   03:21:07,39.6417,-8.5919,51.48,77,0,3.24
282,Marawi,PH,2022-02-02   03:21:07,7.9986,124.2928,72.64,66,100,4.12
283,Kahului,US,2022-02-02   03:21:07,20.8947,-156.47,80.62,63,20,17.27
284,Torbay,CA,2022-02-02   03:21:07,47.6666,-52.7314,18.57,71,0,13.8
285,Shimoda,JP,2022-02-02   03:21:08,34.6667,138.95,53.1,41,1,12.84
286,Santa Luzia,BR,2022-02-02   03:21:08,-19.7697,-43.8514,68.34,94,20,3.44
287,Coquimbo,CL,2022-02-02   03:20:22,-29.9533,-71.3436,62.33,88,0,0.0
288,Labuhan,ID,2022-02-02   03:21:09,-6.8844,112.2051,84.6,69,34,4.68
289,Saint Anthony,US,2022-02-02   03:19:55,45.0205,-93.218,7.25,70,0,4.0
290,Nisia Floresta,BR,2022-02-02   03:21:09,-6.0911,-35.2086,77.81,84,25,4.74
291,Acatlan,MX,2022-02-02   03:21:09,20.15,-98.45,53.74,61,2,5.32
292,Severo-Kurilsk,RU,2022-02-02   03:21:10,50.6789,156.125,31.17,74,100,10.96
293,Pangody,RU,2022-02-02   03:21:10,65.85,74.4859,-16.6,100,94,6.91
