City_ID,City,Country,Max Temp,Weather Description,Humidity,Cloudiness,Wind Speed,Lat,Lng,Hotel Name
671,Yendi,GH,70.59,clear sky,17,1,5.28,9.4427,-0.0099,Eyarro Lodge
673,Nambucca Heads,AU,75.2,overcast clouds,61,94,18.43,-30.65,153.0,Marcel Towers Holiday Apartments
674,Bandarbeyla,SO,75.47,clear sky,66,0,6.53,9.4942,50.8122,JABIR HOTEL
675,San Cristobal,VE,69.98,broken clouds,92,52,3.0,7.7669,-72.225,Posada Villaven C.A.
680,Nampula,MZ,72.3,overcast clouds,88,100,2.89,-15.1165,39.2666,BUTIK Hotel
681,Porto Novo,BJ,74.1,clear sky,90,1,2.62,6.4965,2.6036,Tour Eiffel Hotel Benin
683,Kuching,MY,84.42,scattered clouds,74,40,6.91,1.55,110.3333,The Ranee Boutique Suites
684,Coromandel,BR,66.16,broken clouds,92,84,0.92,-18.4733,-47.2003,Hotel Dona Adélia
685,Thinadhoo,MV,82.04,overcast clouds,70,100,11.5,0.5333,72.9333,
686,Poya,NC,82.8,moderate rain,79,100,10.31,-21.35,165.15,
687,Diamantino,BR,71.78,scattered clouds,92,28,2.89,-14.4086,-56.4461,Hotel Delta
691,Saint-Leu,RE,83.26,light rain,76,100,8.1,-21.15,55.2833,La Caz Oceane
694,Gushikawa,JP,62.6,broken clouds,49,75,16.11,26.3544,127.8686,Kirari Guest House
